name, icon, movement, attack, combat, cargo, size, cost, tools, guns, hull, role
Colonists,    101, 1, 0, 1, 0, 1, 1,  0, 0, 0, 01000000
Soldiers,     103, 1, 2, 2, 0, 1, 2,  0, 0, 0, 00011100
Pioneers,     102, 1, 0, 1, 0, 1, 2,  0, 0, 0, 01000000
Missionaries, 106, 2, 0, 1, 0, 1, 1,  0, 0, 0, 00100000
Dragoons,     105, 4, 3, 3, 0, 1, 3,  0, 0, 0, 00111100
Scouts,       104, 4, 1, 1, 0, 1, 2,  0, 0, 0, 01100100
Regulars,     126, 1, 5, 5, 0, 1, 3,  0, 0, 0, 00011100
Cont. Cav.,   130, 4, 5, 5, 0, 1, 3,  0, 0, 0, 00011100
Cavalry,      127, 4, 6, 6, 0, 1, 4,  0, 0, 0, 00011100
Cont. Army,   129, 1, 4, 4, 0, 1, 3,  0, 0, 0, 00011100
Treasure,      17, 1, 0, 0, 0, 6, 4,  0, 0, 0, 00000000
Artillery,     10, 1, 7, 5, 0, 1, 6,  4, 0, 0, 00011000
Wagon Train,    9, 2, 0, 1, 2,99, 1,  0, 0, 0, 00000000
Caravel,        6, 4, 0, 2, 2,99, 4,  4, 0, 4, 10100010
Merchantman,    7, 5, 0, 6, 4,99, 6,  8, 1, 8, 10000010
Galleon,        8, 6, 0,10, 6,99, 10,10, 4,20, 10000010
Privateer,     15, 8, 8, 8, 2,99, 8, 12, 4,12, 00000001
Frigate,       16, 6,16,16, 4,99, 16,20,12,32, 10000001
Man-O-War,    128, 5,24,24, 6,99, 32,90,32,64, 10000001
Braves,       110, 1, 1, 1, 0, 0, 1,  0, 0, 0, 00111000
Armed Braves, 111, 1, 2, 2, 0, 0, 2,  0, 0, 0, 00111000
Mtd. Braves,  112, 4, 2, 2, 0, 0, 2,  0, 0, 0, 00111000
Mtd. Warriors,113, 4, 3, 3, 0, 0, 3,  0, 0, 0, 00111000

;
;       Unit types
;
;
;   AI Role(binary) => Invade Settle Explore Attack Defend Escort Transp Naval
;
